age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
25.1,0.51,-1.29,0.5,66,-0.79,156,320,-1.28,261,0.32,-1.2,Jamie Watson,1997,Dallas Mavericks,1610612742
28.7,-0.66,-3.45,-0.61,302,-3.8,446,323,-3.2,443,-0.47,-2.13,Greg Foster,1997,Utah Jazz,1610612762
27.4,-1.14,0.25,-0.89,359,-0.84,164,324,0.05,116,-0.55,-0.4,Anthony Peeler,1997,Memphis Grizzlies,1610612763
38.6,-0.59,-2.84,-0.59,294,-3.44,432,328,-2.85,420,-0.6,-3.14,Rick Mahorn,1997,Detroit Pistons,1610612765
31,1.57,0.69,1.05,26,1.62,30,330,0.58,76,0.33,0.31,Danny Manning,1997,Phoenix Suns,1610612756
31.4,-0.89,-0.81,-0.77,335,-1.59,243,333,-0.83,204,-0.36,-0.91,Kevin Gamble,1997,Sacramento Kings,1610612758
30.4,-0.2,-1.22,-0.2,170,-1.42,230,335,-1.23,249,-0.17,-1.24,Willie Anderson,1997,Miami Heat,1610612748
27.4,0.83,0.1,0.87,36,1.08,48,339,0.21,103,0.91,0.38,Tom Gugliotta,1997,Minnesota Timberwolves,1610612750
32.3,-0.85,-2.43,-0.77,335,-3.2,422,341,-2.42,388,-0.31,-2.39,Joe Wolf,1997,Milwaukee Bucks,1610612749
29.8,-2.37,0.58,-2.17,453,-1.68,256,344,0.49,84,-1.36,-0.12,Dana Barros,1997,Boston Celtics,1610612738
34.1,-0.47,0.56,-0.53,277,-0.17,112,345,0.37,90,-0.65,-0.24,Terry Porter,1997,Minnesota Timberwolves,1610612750
26.4,-0.71,-1.42,-0.69,318,-2.15,325,348,-1.46,280,-0.55,-1.84,Mitchell Butler,1997,Portland Trail Blazers,1610612757
32.1,0.33,0.72,0.05,124,0.85,60,349,0.81,61,-0.25,0.95,Mark Jackson,1997,Indiana Pacers,1610612754
30.2,-0.87,-2.54,-0.86,353,-3.39,431,351,-2.53,397,-0.47,-1.71,Stacey King,1997,Dallas Mavericks,1610612742
28.9,-0.34,0.51,-0.42,235,-0.1,105,353,0.32,97,-0.65,-0.54,Darrell Armstrong,1997,Orlando Magic,1610612753
31.1,-0.94,-1.66,-0.86,353,-2.56,366,355,-1.71,315,-0.54,-1.99,Vincent Askew,1997,Denver Nuggets,1610612743
31.4,-0.12,-0.93,-0.18,165,-1.13,191,356,-0.96,220,-0.34,-1.1,Chris Morris,1997,Utah Jazz,1610612762
25.8,0.41,2.88,0.11,113,2.88,11,358,2.77,9,-0.3,2.55,Anfernee Hardaway,1997,Orlando Magic,1610612753
29.1,-0.7,-2.1,-0.66,313,-2.71,380,359,-2.05,352,-0.47,-1.75,Chucky Brown,1997,Milwaukee Bucks,1610612749
30.4,0.02,0.03,0.16,109,0.24,80,361,0.08,114,0.28,0.16,Clifford Robinson,1997,Portland Trail Blazers,1610612757
27.7,0.39,0.4,0.49,67,1.08,48,363,0.59,74,0.58,0.89,Christian Laettner,1997,Atlanta Hawks,1610612737
29.6,-1.64,2.03,-1.75,445,0.06,95,364,1.81,26,-1.92,1.25,Rex Chapman,1997,Phoenix Suns,1610612756
